field 	Temperature 	q_loaded 	q_unloaded 	reso_freq 	Rsf 	del_Rsf 	del_Xsf 
5.758470e+04 	5.181000e+01 	5.806107e+03 	5.934799e+03 	7.880796e+09 	1.772928e-02 	1.655345e-03 	1.852903e-02 
58431 	5.180700e+01 	5.819377e+03 	5.946845e+03 	7.880793e+09 	1.769293e-02 	1.618994e-03 	1.859388e-02 
5.927670e+04 	5.180400e+01 	5.803658e+03 	5.930807e+03 	7.880787e+09 	1.774136e-02 	1.667425e-03 	1.877583e-02 
6.005150e+04 	5.180000e+01 	5.764875e+03 	5.891642e+03 	7.880785e+09 	1.786073e-02 	1.786800e-03 	1.883286e-02 
6.089770e+04 	5.179700e+01 	5.761865e+03 	5.891813e+03 	7.880777e+09 	1.786021e-02 	1.786275e-03 	1.903803e-02 
61690 	5.179300e+01 	5.753523e+03 	5.879216e+03 	7.880772e+09 	1.789894e-02 	1.825008e-03 	1.916926e-02 
62535 	5.179100e+01 	5.728048e+03 	5.852495e+03 	7.880767e+09 	1.798165e-02 	1.907719e-03 	1.929764e-02 
6.330990e+04 	5.178700e+01 	5.724973e+03 	5.849195e+03 	7.880761e+09 	1.799192e-02 	1.917988e-03 	1.946364e-02 
6.413860e+04 	5.178400e+01 	5.689085e+03 	5.812006e+03 	7.880754e+09 	1.810843e-02 	2.034499e-03 	1.966160e-02 
6.500470e+04 	5.178200e+01 	5.690339e+03 	5.814838e+03 	7.880752e+09 	1.809951e-02 	2.025574e-03 	1.972465e-02 
6.583490e+04 	5.177900e+01 	5.667615e+03 	5.788304e+03 	7.880745e+09 	1.818347e-02 	2.109537e-03 	1.989564e-02 
6.668280e+04 	5.177500e+01 	5.618987e+03 	5.738775e+03 	7.880739e+09 	1.834227e-02 	2.268341e-03 	2.005730e-02 
6.745930e+04 	5.177300e+01 	5.623556e+03 	5.741674e+03 	7.880734e+09 	1.833290e-02 	2.258970e-03 	2.018899e-02 
68326 	5.176800e+01 	5.566386e+03 	5.684990e+03 	7.880729e+09 	1.851786e-02 	2.443926e-03 	2.032891e-02 
6.913790e+04 	5.176600e+01 	5.590958e+03 	5.711550e+03 	7.880723e+09 	1.843074e-02 	2.356804e-03 	2.048636e-02 
69968 	5.176300e+01 	5.578165e+03 	5.695890e+03 	7.880718e+09 	1.848200e-02 	2.408072e-03 	2.063329e-02 
7.081630e+04 	5.175900e+01 	5.556386e+03 	5.672955e+03 	7.880711e+09 	1.855760e-02 	2.483670e-03 	2.081292e-02 
7.161030e+04 	5.175700e+01 	5.564154e+03 	5.681250e+03 	7.880709e+09 	1.853019e-02 	2.456257e-03 	2.087970e-02 
7.244050e+04 	5.175400e+01 	5.530504e+03 	5.646237e+03 	7.880702e+09 	1.864644e-02 	2.572511e-03 	2.107475e-02 
7.327130e+04 	5.174900e+01 	5.522843e+03 	5.638926e+03 	7.880696e+09 	1.867076e-02 	2.596832e-03 	2.121911e-02 
7.406540e+04 	5.174600e+01 	5.496648e+03 	5.610940e+03 	7.880692e+09 	1.876497e-02 	2.691036e-03 	2.132976e-02 
74913 	5.174500e+01 	5.487088e+03 	5.602657e+03 	7.880685e+09 	1.879303e-02 	2.719096e-03 	2.151516e-02 
7.576190e+04 	5.174100e+01 	5.477523e+03 	5.592369e+03 	7.880682e+09 	1.882800e-02 	2.754065e-03 	2.160148e-02 
76592 	5.173700e+01 	5.429053e+03 	5.542464e+03 	7.880675e+09 	1.899947e-02 	2.925542e-03 	2.178820e-02 
7.736840e+04 	5.173400e+01 	5.443691e+03 	5.555608e+03 	7.880671e+09 	1.895401e-02 	2.880079e-03 	2.190348e-02 
7.821680e+04 	5.173100e+01 	5.430211e+03 	5.540819e+03 	7.880665e+09 	1.900518e-02 	2.931245e-03 	2.206613e-02 
7.899250e+04 	5.172800e+01 	5.408797e+03 	5.517324e+03 	7.880659e+09 	1.908703e-02 	3.013098e-03 	2.223170e-02 
7.982290e+04 	5.172500e+01 	5.397248e+03 	5.506405e+03 	7.880654e+09 	1.912531e-02 	3.051376e-03 	2.235018e-02 
8.067120e+04 	5.172200e+01 	5.385841e+03 	5.494547e+03 	7.880650e+09 	1.916705e-02 	3.093114e-03 	2.247834e-02 
8.150170e+04 	5.171900e+01 	5.375030e+03 	5.481469e+03 	7.880645e+09 	1.921329e-02 	3.139362e-03 	2.260154e-02 
8.229590e+04 	5.171500e+01 	5.359881e+03 	5.470431e+03 	7.880638e+09 	1.925250e-02 	3.178564e-03 	2.280109e-02 
83144 	5.171200e+01 	5.344112e+03 	5.451274e+03 	7.880634e+09 	1.932091e-02 	3.246981e-03 	2.290115e-02 
8.391990e+04 	5.170700e+01 	5.341645e+03 	5.448908e+03 	7.880628e+09 	1.932940e-02 	3.255464e-03 	2.305256e-02 
8.476780e+04 	5.170500e+01 	5.325692e+03 	5.432196e+03 	7.880625e+09 	1.938953e-02 	3.315595e-03 	2.315064e-02 
8.559830e+04 	5.170300e+01 	5.297681e+03 	5.404707e+03 	7.880618e+09 	1.948924e-02 	3.415312e-03 	2.333768e-02 
86429 	5.170000e+01 	5.292457e+03 	5.397582e+03 	7.880614e+09 	1.951526e-02 	3.441324e-03 	2.345335e-02 
87241 	5.169700e+01 	5.271121e+03 	5.376788e+03 	7.880608e+09 	1.959156e-02 	3.517631e-03 	2.360225e-02 
88089 	5.169500e+01 	5.277155e+03 	5.381331e+03 	7.880603e+09 	1.957484e-02 	3.500910e-03 	2.372817e-02 
8.891950e+04 	5.169100e+01 	5.255418e+03 	5.359520e+03 	7.880597e+09 	1.965538e-02 	3.581450e-03 	2.390970e-02 
8.969540e+04 	5.168800e+01 	5.248464e+03 	5.354084e+03 	7.880594e+09 	1.967556e-02 	3.601625e-03 	2.397862e-02 
8.999970e+04 	5.168500e+01 	5.260640e+03 	5.364405e+03 	7.880601e+09 	1.963729e-02 	3.563354e-03 	2.379653e-02 
89611 	5.168600e+01 	5.260691e+03 	5.364225e+03 	7.880611e+09 	1.963795e-02 	3.564022e-03 	2.351891e-02 
88822 	5.168800e+01 	5.263954e+03 	5.365367e+03 	7.880618e+09 	1.963373e-02 	3.559795e-03 	2.333970e-02 
8.796160e+04 	5.168800e+01 	5.281819e+03 	5.385141e+03 	7.880618e+09 	1.956084e-02 	3.486908e-03 	2.332906e-02 
8.713620e+04 	5.169200e+01 	5.282160e+03 	5.387350e+03 	7.880623e+09 	1.955273e-02 	3.478797e-03 	2.318733e-02 
8.631040e+04 	5.169400e+01 	5.295796e+03 	5.402027e+03 	7.880627e+09 	1.949902e-02 	3.425087e-03 	2.308286e-02 
8.546570e+04 	5.169800e+01 	5.304615e+03 	5.409495e+03 	7.880632e+09 	1.947180e-02 	3.397871e-03 	2.294911e-02 
8.469370e+04 	5.169900e+01 	5.317402e+03 	5.422625e+03 	7.880639e+09 	1.942413e-02 	3.350200e-03 	2.276053e-02 
8.384990e+04 	5.170400e+01 	5.362414e+03 	5.469329e+03 	7.880642e+09 	1.925642e-02 	3.182488e-03 	2.268081e-02 
8.300610e+04 	5.170800e+01 	5.350737e+03 	5.460453e+03 	7.880647e+09 	1.928807e-02 	3.214140e-03 	2.255244e-02 
