13/12/2023 16:41:53:getTemprature ['2', '13659.42', '47.5977']
13/12/2023 16:41:53:getField ['4', '13659.91', '0.000']
13/12/2023 16:41:54:getField ['4', '13660.42', '0.000']
13/12/2023 16:41:54:getField ['4', '13660.91', '0.000']
13/12/2023 16:41:55:getField ['4', '13661.42', '0.000']
13/12/2023 16:41:55:getTemprature ['2', '13662.20', '47.5966']
13/12/2023 16:41:56:getField ['4', '13662.73', '0.000']
13/12/2023 16:41:56:getField ['4', '13663.25', '0.000']
13/12/2023 16:41:57:getField ['4', '13663.70', '0.000']
13/12/2023 16:41:57:getField ['4', '13664.22', '0.000']
13/12/2023 16:41:58:getTemprature ['2', '13665.03', '47.6003']
13/12/2023 16:41:59:getField ['4', '13665.52', '0.000']
13/12/2023 16:41:59:getField ['4', '13666.03', '0.000']
13/12/2023 16:42:00:getField ['4', '13666.52', '0.000']
13/12/2023 16:42:00:getField ['4', '13667.05', '0.000']
13/12/2023 16:42:01:getTemprature ['2', '13667.80', '47.5966']
13/12/2023 16:42:01:getField ['4', '13668.31', '0.000']
13/12/2023 16:42:02:getField ['4', '13668.80', '0.000']
13/12/2023 16:42:02:getField ['4', '13669.30', '0.000']
13/12/2023 16:42:03:getField ['4', '13669.80', '0.000']
13/12/2023 16:42:04:getTemprature ['2', '13670.61', '47.5998']
13/12/2023 16:42:04:getField ['4', '13671.11', '0.000']
13/12/2023 16:42:05:getField ['4', '13671.61', '0.000']
13/12/2023 16:42:05:getField ['4', '13672.11', '0.000']
13/12/2023 16:42:06:getField ['4', '13672.63', '0.000']
13/12/2023 16:42:07:getTemprature ['2', '13673.45', '47.5972']
13/12/2023 16:42:07:getField ['4', '13673.91', '0.000']
13/12/2023 16:42:08:getField ['4', '13674.42', '0.000']
13/12/2023 16:42:08:getField ['4', '13674.91', '0.000']
13/12/2023 16:42:09:getField ['4', '13675.44', '0.000']
13/12/2023 16:42:09:getTemprature ['2', '13676.19', '47.6003']
13/12/2023 16:42:10:getField ['4', '13676.72', '0.000']
13/12/2023 16:42:16:getField ['4', '13683.25', '0.000']
13/12/2023 16:42:17:getField ['4', '13683.45', '0.000']
13/12/2023 16:42:17:getField ['4', '13683.95', '0.000']
13/12/2023 16:42:18:getTemprature ['2', '13684.77', '47.5988']
13/12/2023 16:42:18:getField ['4', '13685.25', '0.000']
13/12/2023 16:42:19:getField ['4', '13685.78', '0.000']
13/12/2023 16:42:19:getField ['4', '13686.30', '0.000']
13/12/2023 16:42:20:getField ['4', '13686.75', '0.000']
